title,date_index0,date_index1,date_index10,date_index11,date_index12,date_index13,date_index14,date_index15,date_index16,date_index17,date_index18,date_index19,date_index2,date_index20,date_index21,date_index22,date_index23,date_index24,date_index25,date_index26,date_index27,date_index28,date_index29,date_index3,date_index30,date_index31,date_index32,date_index33,date_index34,date_index35,date_index36,date_index37,date_index4,date_index5,date_index6,date_index7,date_index8,date_index9
Avatar,30,33,82,68,67,67,72,82,83,74,65,61,35,55,69,70,69,55,49,46,43,46,57,28,60,44,41,38,38,43,60,63,32,40,49,74,94,100
Pirates of the Caribbean: At World's End,17,25,73,50,37,30,32,50,32,21,19,16,32,21,16,27,23,16,15,10,11,12,17,21,13,10,4,11,10,12,8,16,30,27,35,63,86,100
Spectre,33,35,57,47,52,43,44,56,57,33,28,29,39,30,40,51,48,30,24,25,25,29,38,35,33,20,17,15,15,18,25,23,31,36,47,73,100,92
The Dark Knight Rises,12,14,58,46,46,39,38,43,43,30,23,22,16,20,20,23,23,18,16,15,13,14,17,20,17,12,11,12,11,10,13,14,25,28,38,91,100,83
John Carter,19,23,59,44,36,33,36,51,48,32,45,33,29,25,25,33,32,22,17,15,16,16,21,29,20,13,11,11,11,14,14,14,28,35,44,75,100,96
Spider-Man 3,18,36,47,37,31,26,24,41,39,21,14,16,33,19,19,26,25,14,15,10,11,11,17,34,23,12,11,9,6,8,13,14,41,40,38,71,100,83
Tangled,19,19,100,93,55,39,32,36,46,67,66,48,25,35,35,31,41,59,54,35,31,34,31,30,38,51,46,39,33,38,40,42,30,27,40,58,61,81
Avengers: Age of Ultron,62,73,57,38,36,32,34,48,50,26,21,21,67,20,21,29,28,18,16,14,14,16,23,47,25,22,17,15,15,16,21,22,38,42,51,96,100,87
Harry Potter and the Half-Blood Prince,38,32,94,100,59,42,40,31,38,53,48,26,35,23,20,21,12,26,19,15,15,12,15,47,10,20,19,14,11,7,7,10,54,37,55,89,89,82
Batman v Superman: Dawn of Justice,7,10,62,42,37,29,30,36,31,22,14,16,15,13,15,26,21,14,11,9,9,9,12,12,15,7,5,6,6,7,8,9,17,23,31,80,100,96
Superman Returns,31,37,100,97,74,66,50,48,46,62,52,38,42,36,41,36,39,58,52,33,29,27,27,48,26,37,36,24,20,20,14,16,51,45,57,87,86,90
Quantum of Solace,69,83,55,38,35,31,36,54,52,30,25,25,82,26,36,43,41,22,17,14,17,18,28,62,24,18,14,12,15,15,19,20,50,47,53,78,100,90
Pirates of the Caribbean: Dead Man's Chest,11,19,56,30,43,49,40,42,49,40,15,23,15,27,25,24,41,17,15,6,17,20,21,28,26,15,6,15,8,4,6,20,15,18,33,80,100,68
The Lone Ranger,15,17,100,83,60,55,48,41,38,48,42,30,22,27,26,26,27,33,32,27,19,17,16,25,16,24,24,18,15,15,13,16,30,30,43,69,74,83
Man of Steel,18,19,65,48,41,37,37,48,46,31,25,25,20,22,24,29,30,19,18,17,17,17,20,20,20,14,12,12,11,11,15,14,28,32,41,83,100,86
The Chronicles of Narnia: Prince Caspian,14,6,58,54,42,37,55,36,57,25,37,19,6,36,18,36,38,19,23,19,19,22,30,11,18,15,11,17,13,9,12,36,13,13,11,32,77,100
The Avengers,43,58,77,53,45,38,37,53,55,37,27,27,60,26,26,35,36,24,19,18,17,18,27,51,27,21,16,13,14,14,20,20,48,40,43,78,100,96
Pirates of the Caribbean: On Stranger Tides,13,25,54,39,35,33,32,41,42,33,20,20,33,25,17,32,24,16,15,14,13,17,23,21,25,16,13,12,12,14,19,21,21,31,46,71,100,94
Men in Black 3,22,27,70,47,40,37,41,60,58,33,28,28,32,28,27,34,34,19,19,17,17,18,25,23,28,15,14,13,13,14,21,23,23,35,44,75,97,100
The Hobbit: The Battle of the Five Armies,30,34,97,100,73,60,59,73,76,76,64,54,54,49,46,60,56,54,51,36,30,42,41,61,45,50,47,28,28,25,26,27,70,57,65,84,77,79
The Amazing Spider-Man,36,43,71,100,89,68,60,59,56,51,57,66,46,46,37,34,38,33,42,41,29,29,24,68,23,21,28,30,24,26,20,19,85,78,59,79,82,79
The Hobbit: The Desolation of Smaug,16,23,66,47,41,40,39,48,58,40,41,43,23,48,43,67,71,51,41,50,44,44,46,22,39,28,25,22,22,24,34,29,25,29,49,79,100,92
The Golden Compass,38,47,52,42,38,33,38,51,51,30,31,27,46,29,29,34,38,30,27,29,25,25,33,45,27,22,30,21,20,21,21,25,44,45,55,84,100,86
King Kong,32,32,100,99,70,51,45,46,53,57,59,50,40,46,45,41,46,43,43,35,34,23,24,46,24,31,29,20,15,16,15,16,51,37,44,72,72,73
Captain America: Civil War,41,47,54,41,38,31,34,48,47,27,20,18,48,18,20,27,25,15,13,12,12,12,16,40,17,13,10,9,9,9,11,11,33,34,46,84,100,80
Battleship,49,64,67,49,42,41,43,64,60,46,36,35,69,32,36,46,45,30,27,26,25,27,38,49,40,23,23,20,26,25,32,31,47,48,53,78,100,98
Jurassic World,12,16,67,49,46,40,43,58,60,37,30,28,18,25,27,36,37,23,19,18,17,20,24,16,25,17,15,15,14,14,23,25,18,30,44,74,100,100
Skyfall,74,84,66,50,44,41,46,60,60,39,32,33,81,36,38,53,46,28,26,23,22,26,35,57,37,22,18,20,18,21,29,28,47,42,51,69,100,92
Spider-Man 2,20,30,93,84,58,66,49,51,48,64,61,48,29,60,55,42,43,40,100,30,44,32,30,30,38,57,37,24,26,21,29,41,33,35,67,73,82,77
Iron Man 3,66,77,56,42,38,36,40,53,50,32,26,25,77,22,25,37,36,23,19,17,17,20,25,56,27,20,16,14,15,15,20,20,50,60,53,78,100,91
Alice in Wonderland,29,27,56,41,37,36,39,53,55,34,29,24,29,25,25,36,36,24,19,19,18,20,26,29,26,17,17,17,16,19,20,19,33,37,44,76,100,97
X-Men: The Last Stand,18,36,64,50,40,30,19,32,38,30,16,19,39,19,14,29,13,9,10,5,6,10,19,34,5,6,8,9,7,5,9,5,29,32,44,68,100,79
Monsters University,16,20,61,49,45,44,50,59,62,42,39,35,23,37,36,44,42,32,27,27,25,27,34,21,33,24,23,22,21,23,28,27,25,28,38,76,100,89
Transformers: Revenge of the Fallen,22,25,100,91,55,55,45,38,40,58,50,35,30,32,30,29,30,34,34,23,22,20,19,49,15,28,22,20,14,14,16,13,49,38,60,98,94,78
Transformers: Age of Extinction,22,24,66,46,47,47,48,61,63,45,40,35,27,35,41,51,47,35,34,36,32,28,40,25,40,25,20,18,17,18,23,21,22,32,47,85,100,98
Oz the Great and Powerful,15,20,51,34,31,28,34,55,46,25,21,18,17,18,20,33,30,16,15,14,15,21,21,18,20,12,10,10,9,10,14,14,21,26,32,71,100,85
The Amazing Spider-Man 2,36,46,64,49,48,44,42,52,51,34,32,29,47,28,29,41,38,24,20,20,21,25,28,35,32,25,20,20,21,22,24,22,46,69,87,92,100,99
TRON: Legacy,25,25,70,59,56,55,56,61,59,50,48,50,29,52,45,51,51,37,31,29,29,29,36,26,37,22,21,18,19,21,27,26,26,29,41,73,100,92
Cars 2,29,39,59,55,52,47,50,64,67,48,43,44,42,44,47,59,58,39,36,39,40,43,50,36,52,40,38,35,37,42,54,56,38,44,49,81,100,96
Green Lantern,23,30,53,41,38,34,35,44,41,27,21,22,30,18,20,25,25,19,16,15,15,15,19,27,19,14,14,13,13,14,15,18,27,33,45,87,100,89
Toy Story 3,18,25,66,57,50,48,48,66,66,45,41,41,31,40,40,52,52,44,36,34,34,36,47,26,42,31,31,34,32,33,45,48,27,29,38,72,100,95
Terminator Salvation,17,24,94,68,53,45,48,48,67,62,45,40,31,46,51,59,78,74,44,35,31,31,29,35,39,38,24,22,19,17,22,29,32,39,51,84,92,100
Furious 7,10,13,86,65,54,47,48,57,53,36,30,26,14,24,26,35,32,21,18,17,17,20,26,14,24,16,14,13,14,17,18,17,16,28,52,87,100,95
World War Z,19,23,61,51,45,47,48,63,59,41,38,43,25,38,38,46,44,26,24,24,22,22,29,23,28,19,17,17,15,16,22,21,28,34,43,82,100,93
X-Men: Days of Future Past,13,18,74,60,51,46,42,55,50,34,29,27,19,25,28,33,33,22,18,18,15,16,22,17,22,15,12,13,13,13,17,20,21,33,46,76,100,94
Star Trek Into Darkness,37,46,100,65,39,36,33,36,48,49,40,30,48,24,22,24,33,33,22,18,16,17,18,46,24,28,18,14,16,15,15,21,35,37,45,66,78,96
Jack the Giant Slayer,8,13,53,38,35,29,37,55,53,28,24,25,13,24,32,47,48,27,24,27,26,35,42,11,50,23,23,25,23,32,31,33,14,18,26,66,100,84
The Great Gatsby,35,28,63,47,56,64,69,74,75,53,44,42,32,38,37,44,45,38,32,32,31,31,35,37,36,26,25,23,21,22,27,27,43,42,54,93,100,91
Prince of Persia: The Sands of Time,27,45,63,54,44,48,44,60,58,38,24,28,38,29,27,41,45,26,23,24,25,26,33,33,30,21,23,18,20,22,25,35,31,26,34,52,100,94
Pacific Rim,14,15,66,51,48,47,46,54,56,37,30,28,18,27,26,30,31,23,20,18,19,18,23,21,23,19,17,16,15,17,21,19,24,26,41,76,100,95
Transformers: Dark of the Moon,18,18,100,95,69,55,48,47,46,57,52,38,20,29,29,25,30,34,33,25,21,21,20,29,18,27,23,18,16,16,15,18,33,33,53,93,84,81
Indiana Jones and the Kingdom of the Crystal Skull,26,19,95,64,45,35,35,38,57,55,27,19,45,27,16,23,37,33,16,18,15,13,10,61,25,19,10,13,5,7,7,10,58,33,54,96,100,100
The Good Dinosaur,13,14,100,81,38,31,28,27,37,60,50,30,17,26,25,23,31,46,40,25,21,18,19,24,26,36,35,29,37,37,41,43,27,26,33,61,65,87
Brave,24,32,60,49,43,40,44,55,50,36,35,37,33,33,35,45,39,28,27,27,25,28,37,28,35,25,23,24,24,26,30,30,32,33,43,81,100,86
Star Trek Beyond,14,21,60,40,36,31,34,43,46,26,23,21,20,19,21,27,25,15,14,12,12,14,21,19,18,12,10,11,11,11,16,14,23,33,44,75,100,93
WALL·E,8,11,76,46,31,40,27,91,54,29,45,46,11,31,16,11,76,15,7,31,23,41,35,0,33,30,23,23,32,25,22,0,15,8,8,8,100,11
Rush Hour 3,20,28,56,50,38,38,39,55,66,33,31,27,31,23,21,37,33,22,17,15,16,16,24,36,23,16,11,11,12,12,18,15,27,32,39,72,100,91
2012,22,30,67,55,49,46,51,59,56,38,35,33,35,34,36,42,39,27,23,22,22,24,32,33,30,22,20,18,17,19,24,23,35,46,51,79,100,91
A Christmas Carol,19,24,56,45,53,43,48,59,64,43,48,40,28,46,53,68,52,44,53,44,40,47,65,29,64,57,57,60,67,71,73,100,37,45,38,67,66,65
Jupiter Ascending,14,17,48,36,32,30,38,62,59,37,27,23,19,21,25,37,32,20,16,15,14,18,23,16,21,13,10,10,10,12,18,16,25,32,48,77,100,85
The Legend of Tarzan,6,8,65,57,41,48,63,88,72,46,41,33,8,33,40,55,49,30,29,26,25,28,40,8,37,22,22,18,19,17,26,21,14,22,34,68,100,90
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,90,0,0,59,57,58,0,85,0,0,0,100,47,49,0,69,69,0,48,0,0,73,0
X-Men: Apocalypse,57,76,78,65,53,49,51,64,64,45,37,38,77,36,40,46,47,32,30,29,27,29,33,54,36,25,21,20,23,22,24,25,49,56,81,90,100,98
The Dark Knight,16,17,75,59,46,44,46,53,54,36,30,28,19,26,28,32,34,26,23,20,20,18,24,19,23,16,16,14,14,16,19,20,25,29,38,78,99,100
Up,70,80,76,73,70,72,75,86,85,71,71,72,75,75,76,87,83,69,72,71,74,71,82,69,81,71,70,69,70,69,77,81,70,77,73,78,100,89
Monsters vs. Aliens,18,24,53,41,36,42,48,51,52,27,24,22,28,31,49,42,37,22,22,16,23,21,32,7,25,12,12,12,11,15,15,16,36,34,30,61,95,100
Iron Man,17,21,68,54,43,40,40,58,55,35,26,23,22,23,25,37,34,23,18,16,18,18,25,20,24,17,14,13,12,13,18,19,21,31,54,80,100,97
Hugo,58,59,100,92,75,69,68,65,78,90,93,76,60,66,68,72,73,81,87,74,71,74,71,64,73,82,78,74,70,70,69,69,65,64,71,83,81,86
The Mummy: Tomb of the Dragon Emperor,18,17,49,52,50,36,31,36,38,21,31,17,21,17,21,24,26,14,21,18,31,20,34,21,26,19,13,20,17,19,29,25,17,25,48,71,92,100
Suicide Squad,18,24,64,51,57,53,54,66,64,51,43,44,25,41,41,48,49,34,31,29,29,29,36,26,36,26,22,21,20,22,29,29,50,66,74,98,100,91
Evan Almighty,21,22,93,50,45,45,52,47,73,42,37,32,30,31,33,39,36,24,20,18,22,22,24,24,35,20,20,40,29,27,38,35,27,35,40,100,94,97
Edge of Tomorrow,31,37,56,44,42,34,37,50,54,31,31,27,33,24,31,42,43,26,21,21,21,24,33,25,32,19,17,17,18,20,26,27,30,30,43,72,100,94
G.I. Joe: The Rise of Cobra,13,12,59,46,39,48,44,60,60,43,30,24,20,18,28,37,43,28,23,18,17,15,24,17,30,18,13,20,19,22,18,25,20,30,44,74,97,100
Inside Out,15,20,63,57,50,47,52,72,70,47,42,40,21,37,45,49,46,39,34,32,35,35,45,18,45,29,28,26,26,31,42,40,20,26,35,74,100,91
Iron Man 2,62,89,54,40,37,35,36,50,46,29,23,21,83,20,20,30,32,18,15,15,13,16,25,61,21,16,13,12,12,12,18,18,52,48,53,74,100,90
Snow White and the Huntsman,17,22,54,43,41,39,42,48,45,28,24,23,23,22,25,30,31,20,18,20,20,21,28,25,29,19,18,15,15,16,19,18,24,32,40,78,100,94
Maleficent,15,20,58,46,43,39,41,55,54,37,29,29,19,27,28,40,38,23,21,20,20,23,29,21,27,19,17,17,15,17,21,21,22,34,51,75,100,92
Dawn of the Planet of the Apes,11,12,57,46,44,41,46,68,64,38,32,31,16,29,32,41,43,27,24,23,20,21,27,13,28,17,16,14,14,15,20,20,16,29,38,78,100,82
47 Ronin,20,25,100,88,72,49,71,60,58,67,59,44,30,38,39,39,40,57,50,40,31,34,32,36,34,48,44,31,29,25,26,26,35,38,54,98,98,84
Captain America: The Winter Soldier,32,43,63,52,46,44,43,60,61,40,31,30,48,31,40,43,46,35,26,23,24,26,34,38,36,21,18,19,23,20,26,30,31,39,42,75,97,100
Shrek Forever After,9,18,53,44,40,38,39,57,51,40,33,29,13,33,34,46,46,24,25,22,23,29,32,15,31,24,21,23,20,22,36,27,17,20,30,78,100,92
Tomorrowland,18,22,75,53,41,38,44,64,62,33,30,30,24,29,36,46,41,26,31,27,26,28,35,23,34,20,21,19,18,20,26,26,23,28,38,73,100,95
Big Hero 6,9,13,60,52,39,36,44,73,72,38,31,29,13,28,32,52,48,30,26,34,33,42,54,13,45,23,20,20,18,26,37,34,15,18,25,57,100,93
Wreck-It Ralph,11,14,98,71,46,42,55,66,63,57,41,51,15,32,37,41,42,37,33,28,25,33,39,19,34,26,25,22,20,23,42,20,30,31,44,77,96,100
The Polar Express,22,28,82,61,56,52,35,51,69,44,65,43,42,29,27,35,41,52,65,28,36,27,37,42,47,44,57,56,44,44,40,31,41,68,0,87,72,100
Independence Day: Resurgence,12,17,44,47,38,32,38,41,42,38,30,26,16,20,24,37,33,22,19,17,18,18,26,18,25,15,11,12,13,12,19,18,30,28,51,85,100,84
How to Train Your Dragon,14,19,65,50,53,51,75,79,86,67,45,43,21,41,46,60,59,37,29,30,34,37,51,16,55,33,26,25,22,30,45,43,20,22,30,60,88,100
Guardians of the Galaxy,15,15,73,55,48,43,45,59,59,39,31,29,16,27,30,38,38,26,20,20,18,21,27,15,28,19,15,14,15,18,24,27,15,21,36,75,100,96
Interstellar,10,12,71,58,51,44,46,66,66,41,33,32,15,29,33,44,43,27,22,23,23,27,34,14,32,19,15,15,14,16,24,24,19,29,41,72,100,99
Inception,10,12,79,61,60,57,59,75,80,56,45,43,11,42,45,59,60,46,38,38,32,34,43,12,47,32,28,26,24,25,32,34,14,19,24,58,94,100
Godzilla Resurgence,55,44,81,58,50,52,39,53,35,40,37,26,44,28,30,65,43,41,47,29,34,44,35,22,40,23,20,27,32,52,34,55,27,22,45,100,95,72
The Hobbit: An Unexpected Journey,18,18,68,47,50,40,39,49,53,41,43,44,19,39,39,43,36,35,43,36,45,43,49,19,33,21,27,18,19,20,28,29,22,34,40,77,100,95
The Curious Case of Benjamin Button,15,18,97,100,96,81,90,85,86,73,43,42,21,34,41,42,64,56,43,29,27,26,33,18,50,44,24,23,13,69,62,61,28,31,41,85,96,98
X-Men: First Class,18,19,67,47,42,36,41,51,49,34,25,21,19,22,24,30,29,20,16,15,16,18,20,19,21,13,12,12,10,12,14,17,21,34,47,73,100,99
The Hunger Games: Mockingjay - Part 2,15,12,44,34,46,44,40,56,50,27,23,18,30,30,27,24,44,32,20,18,14,27,16,22,37,20,16,19,17,20,25,32,16,18,37,56,100,41
The Sorcerer's Apprentice,16,18,88,100,60,42,65,49,41,74,61,42,15,32,24,34,36,40,70,18,22,12,10,13,17,27,46,14,16,30,21,21,8,16,24,16,39,39
Poseidon,25,25,68,54,49,48,46,43,55,49,37,41,33,50,50,48,71,42,49,46,48,41,72,43,83,53,56,52,45,40,52,54,38,38,41,93,79,100
